Median Tag ID Count by Excess Tags,Excess Tags,Max Tags,Median Tags,Min Tags,Posting Date,Number of Works,Tag ID Count,Word Count Bins
91,75+,392,34,3,2017,89,39,200-300k
13,0-75,462,13,3,2010,1473,14,25-50k
25,0-75,339,26,3,2014,753,31,150-200k
89,75+,678,14,0,2019,2283,16,0-25k
14,0-75,497,14,3,2009,140,15,50-75k
14,0-75,548,14,3,2008,2,14,75-100k
94,75+,406,32,3,2016,27,39,300-400k
14,0-75,548,14,3,2009,51,15,75-100k
93,75+,406,33,3,2017,35,41,300-400k
101,75+,415,25,3,2014,6,33,500k+
15,0-75,497,15,3,2011,874,17,50-75k
98,75+,392,23,3,2013,11,29,200-300k
30,0-75,406,32,3,2016,307,39,300-400k
89,75+,517,26,2,2021,18,31,100-150k
92,75+,497,27,3,2018,356,31,50-75k
16,0-75,517,16,2,2010,125,19,100-150k
21,0-75,392,21,3,2012,219,25,200-300k
22,0-75,462,22,3,2016,23543,26,25-50k
32,0-75,339,34,3,2020,2386,40,150-200k
87,75+,678,9,0,2009,1,10,0-25k
106,75+,339,20,3,2010,2,25,150-200k
91,75+,462,20,3,2014,126,23,25-50k
82,75+,365,18,3,2021,1,28,400-500k
28,0-75,548,29,3,2019,5905,34,75-100k
26,0-75,517,26,2,2015,2767,31,100-150k
93,75+,497,28,3,2019,459,32,50-75k
95,75+,365,41,3,2019,40,51,400-500k
101,75+,365,27,3,2014,8,38,400-500k
